Organization,Count
Ташкентский государственный транспортный университет,832
Ферганский политехнический институт,736
Ташкентский государственный технический университет,687
Ташкентский институт текстильной и легкой промышленности,630
Ташкентский химико-технологический институт,575
Ташкентского химико-технологического института,572
Наманганский инженерно-технологический институт,448
Бухарский инженерно-технологический институт,387
Джизакский политехнический институт,381
Андижанский машиностроительный институт,284
Каршинский инженерно-экономический институт,259
Бухарского инженерно-технологического института,239
Термезский государственный университет,171
Ташкентский государственный технический университет имени Ислама Каримова,159
Ташкентского государственного технического университета,153
Каракалпакский государственный университет,138
Навоийский государственный горный институт,134
Бухарский государственный университет,123
Ферганского политехнического института,121
Ташкентского института текстильной и легкой промышленности,115
Наманганский государственный университет,106
Каршинского инженерно-экономического института,102
Национальный университет,102
Андижанский государственный университет,101
Ташкентский научно-исследовательский институт химической технологии,95
Навоийского государственного горного института,84
Ташкентского государственного транспортного университета,83
Ташкентский государственный технический университет  имени Ислама Каримова,76
Наманганского инженерно-технологического института,69
Ташкентского научно-исследовательского института химической технологии,69
Навоийский государственный горно-технологический университет,67
Андижанского института сельского хозяйства и агротехнологии,62
Каракалпакского государственного университета,59
Ферганский государственный университет,57
Ташкентского государственного технического университета  имени Ислама Каримова,55
Каршинский государственный университет,54
Джизакского политехнического института,52
Ургенчский государственный университет,52
Андижанского машиностроительного института,49
Гулистанский государственный университет,49
Ташкентский институт инженеров железнодорожного транспорта,49
Национального университета,48
Навоийского государственного горно-технологического университета,47
Бухарского государственного университета,44
Казанского технологического университета,42
Московский архитектурный институт  (государственная академия,41
Ташкентский институт текстильной и лёгкой промышленности,41
Ташкентского государственного технического университета имени Ислама Каримова,41
Джизакский Политехнический институт,40
Термезский инженерно-технологический институт,39
Ташкентский государственный университет транспорта,38
Андижанского государственного университета,37
Петербургского университета путей сообщения,36
Ташкентский государственный аграрный университет,35
Термезского государственного университета,35
Алматинский технологический университет,34
Московский архитектурный институт,32
Национальный исследовательский университет,32
Томского политехнического университета,32
Ургенчского государственного университета,32
Наманганского государственного университета,31
Российский технологический университет,30
Ташкентский химико-технологический институт (ТХТИ),30
Инженерно-технологический институт,29
Ташкентский фармацевтический институт,28
Наманганский институт текстильной промышленности,27
Каракалпакский государственный университет имени Бердаха,26
Ташкентский архитектурно-строительный институт,26
Южно-Казахстанский университет им. М. Ауэзова,26
Астрономический институт,25
Каракалпакского государственного университета им. Бердаха,25
Ташкентский институт инженеров ирригации,25
Ташкентского научно-исследовательского института  химической технологии,25
Брянского государственного университета,24
ООО «Ташкентского научно-исследовательского института химической технологии»,24
Самаркандский государственный университет,24
Ташкентский институт инженеров ирригации и механизации сельского хозяйства,24
Ташкентский институт текстильной  и легкой промышленности,24
Ташкентского государственного технического университета им. Ислама Каримова,24
Казахский национальный университет имени аль-Фараби,23
Навоийский государственный педагогический институт,22
Навоийский государственный  горно-технологический университет,21
Наманганского инженерно-строительного института,21
ООО Ташкентский научно-исследовательский институт химической технологии,21
Ташкентский архитектурно-строительный университет,21
Каракалпакский государственный университет им. Бердаха,20
Ташкентский государственный транспортный университет (ТГТрУ),20
Витебский государственный технологический университет,19
Самарский государственный технический университет,19
Ташкентский государственный технический университет им. Ислама Каримова,19
Гулистанского государственного университета,18
Джиззакский политехнический институт,18
Ташкентский Государственный Транспортный университет,18
Навоийского государственного педагогического института,17
Южно-Уральский государственный университет,17
Андижанского машиностроительного институт,16
Донской государственный технический университет,16
Наманганский инженерно-строительный институт,16
Южно-Казахстанский государственный университет  имени,16
Азербайджанский архитектурно-строительный университет,15
Андижанский институт сельского хозяйства и агротехнологий,15
ООО Ташкентский научно-исследовательский институт химической технологии»,15
Ташкентского института инженеров железнодорожного транспорта,15
Ташкентского университета информационных технологий,15
Ферганского государственного университета,15
Хакасского государственного университета,15
Южно-Уральского государственного университета,15
Дальневосточный федеральный университет,14
Карагандинский технический университет,14
Ташкентский Государственный технический университет,14
Ташкентского университета информационных технологий  имени Мухаммада ал-Хоразмий,14
Атырауский университет нефти и газа им. С. Утебаева,13
Донского государственного технического университета,13
Навоийского государственного горного и технологического университета,13
Ташкентского Государственного технического университета имени Ислама Каримова,13
Ташкентского государственного  технического университета имени Ислама Каримова,13
Ташкентского университета информационных технологий имени Мухаммада ал-Хорезми,13
Уфимский государственный нефтяной технический университет,13
Иркутский национальный исследовательский технический университет,12
ООО «Ташкентский научно-исследовательский институт химической технологии»,12
ООО «Ташкентского научно-исследовательского  института химической технологии»,12
Ташкентский государственный университет путей сообщения,12
Ташкентский научно-исследовательский институт  химической технологии,12
Ташкентского фармацевтического института,12
Алматинского технологического университета,11
Каракалпакский научно-исследовательский институт естественных наук,11
Московский архитектурный институт (государственная академия,11
Московский государственный технический университет им. Н.Э. Баумана,11
Национальный исследовательский университет «МЭИ»,11
Самаркандский государственный институт иностранных языков,11
Самаркандский государственный медицинский институт,11
Самаркандский институт экономики и сервиса,11
Ташкентского государственного технического  университета им. Ислама Каримова,11
Ташкентского института текстильной и лёгкой промышленности,11
Тольяттинский государственный университет,11
Южно-Казахстанский государственный университет имени,11
Джизакский государственный педагогический университет,10
Курского государственного университета,10
Национальный аграрный университет,10
ООО «Ташкентского научно-исследовательского института  химической технологии»,10
Самаркандский государственный архитектурно-строительный институт,10
Самаркандского государственного университета,10
Ташкентский институт Текстильной и лёгкой промышленности,10
Ташкентского государственного технического университета  им. Ислама Каримова,10
Ташкентском институте текстильной и легкой промышленности,10
Термезского государственного университета инженерии и агротехнологии,10
Андижанский институт сельского хозяйства и агротехнологии,9
Горного института,9
Казахстанско-Британский технический университет,9
Каршинский государственный технический университет,9
Московский государственный университет дизайна и технологии,9
Наманганского института текстильной промышленности,9
ООО «Ташкентский научно-исследовательский институт  химической технологии»,9
ООО Ташкентский научно-исследовательский институт  химической технологии,9
Ошский технологический университет,9
Поволжский государственный технологический университет,9
Ташкентского Государственного технического университета им. Ислама Каримова,9
Ташкентского государственного технического  университета имени Ислама Каримова,9
Ташкентского химико -технологического института,9
Термезский государственный университет инженерии и агротехнологий,9
Технологического университета,9
Тульского государственного университета,9
Уральский государственный горный университет,9
Чирчикского государственного педагогического института,9
Андижанского института сельского хозяйства и агротехнологий,8
Бухарский инженерно-технологический института,8
"ВО ""Сибирский государственный университет науки и технологий  имени академика М.Ф. Решетнева",8
Джизакский государственный педагогический институт,8
Евразийский национальный университет имени Л.Н. Гумилева,8
Кокандский государственный педагогический институт,8
Кокандского государственного педагогического института,8
Навоийского государственного  горно-технологического университета,8
Научно-исследовательском институте ирригации и водных проблем,8
"Национального исследовательского  технологического университета ""МИСИС""",8
Омский государственный университет путей сообщения,8
