Token,Weirdness
узел сетка,2.999982279466348
каркас поверхность,2.999970787968767
точечный каркас,2.828418923089055
линия сетка,2.828387825139085
апрель г,2.449485796759049
такой образ,2.2360645193775053
поверхность проецироваться,2.236055729983365
поверхность задать,2.236036133957086
на сетка,2.2360096216862377
оболочка покрытие,1.9999987112339161
единичный квадрат,1.9999983890423954
обозначить через,1.9999958115102277
параметризация поверхность,1.9999835682324316
в узел,1.9999698750927912
на линия,1.9999499797663725
сплайн поверхность,1.9999151025342297
