Token,Weirdness
поверхность,34.0
сплайн,31
сетка,30.0
линия,23.0
каркас,16.0
задать,13.0
через,13.0
точка,12.0
плоскость,11.0
узел,11.0
семейство,9.0
точечный,9.0
таблица,8.0
технический,7.0
кривая,7.0
апрель,6.0
параметризация,6
инженерный,6.0
координата,6.0
величина,6.0
параметр,6.0
графика,5.0
проецироваться,5.0
сечение,5.0
функция,5.0
квадрат,5.0
производная,5.0
математический,5.0
ю,4.0
покрытие,4.0
наука,4.0
образовать,4.0
гладкость,4.0
аппарат,4.0
результат,4.0
обозначить,4.0
вдоль,4.0
значение,4.0
равенство,4.0
единичный,4.0
р,4.0
криволинейный,4
к,3.75
полиномиальный,3
компьютерный,3.0
кафедра,3.0
механика,3.0
бухарский,3.0
государственный,3.0
университет,3.0
узбекистан,3.0
бухара,3.0
посредством,3.0
возможность,3.0
произвольный,3.0
различный,3.0
форма,3.0
приводить,3.0
значительный,3.0
затрата,3.0
аппроксимация,3
полином,3
производный,3.0
задание,3.0
интерполяция,3
многочлен,3
при,3.0
образ,3.0
однозначный,3.0
каждый,3.0
очевидный,3.0
лежать,3.0
расстояние,3.0
прямоугольник,3
вид,3.0
определяться,3.0
нижеследующий,3.0
проходить,3.0
уравнение,3.0
для,2.8
который,2.6666666666666665
такой,2.6666666666666665
быть,2.3333333333333335
на,2.076923076923077
ахмед,2.0
ядгар,2
асад,2
широта,2.0
оболочка,2.0
геометрия,2.0
канд,2.0
техн,2.0
рассмотреть,2.0
давать,2.0
изображать,2.0
пласт,2.0
земля,2.0
сгущение,2.0
вращение,2.0
свой,2.0
очередь,2.0
труд,2.0
экономия,2.0
граничный,2
аналитический,2.0
сравнение,2.0
классический,2.0
сходимость,2.0
построение,2.0
сокращение,2.0
рис,2.0
этот,2.0
кусок,2
восстанавливаться,2.0
одномерный,2.0
степень,2.0
пересечение,2.0
начало,2.0
длина,2.0
дуга,2.0
отсчитывать,2.0
начальный,2.0
фиксировать,2.0
определять,2.0
формула,2.0
отображать,2.0
находиться,2.0
ступенчатый,2.0
фигура,2.0
сложить,2
разбитый,2.0
задавать,2.0
требоваться,2.0
символ,2.0
интерполяционный,2
взять,2.0
произвести,2.0
аппликата,2
получить,2.0
табличный,2.0
качество,2.0
пучок,2.0
ось,2.0
пространство,2.0
система,2.0
вычисление,2.0
обобщённый,2.0
эрмитовый,2
переход,2.0
позволять,2.0
заметка,2.0
вып,2.0
у,1.8
условие,1.5
сфера,1.5
по,1.4
из,1.1666666666666667
описание,1.0
х,1.0
формирование,1.0
